INSERT INTO agregados_entregadores (entregador_id, nome, total_entregas) VALUES (274065, 'Nome274065 Sobrenome274065', 0);
INSERT INTO agregados_entregadores (entregador_id, nome, total_entregas) VALUES (978783, 'Nome978783 Sobrenome978783', 0);
INSERT INTO agregados_entregadores (entregador_id, nome, total_entregas) VALUES (219417, 'Nome219417 Sobrenome219417', 2);
INSERT INTO agregados_entregadores (entregador_id, nome, total_entregas) VALUES (621346, 'Nome621346 Sobrenome621346', 5);
INSERT INTO agregados_entregadores (entregador_id, nome, total_entregas) VALUES (908532, 'Nome908532 Sobrenome908532', 1);
INSERT INTO agregados_entregadores (entregador_id, nome, total_entregas) VALUES (620580, 'Nome620580 Sobrenome620580', 1);
INSERT INTO agregados_entregadores (entregador_id, nome, total_entregas) VALUES (923706, 'Nome923706 Sobrenome923706', 4);
INSERT INTO agregados_entregadores (entregador_id, nome, total_entregas) VALUES (288380, 'Nome288380 Sobrenome288380', 1);
INSERT INTO agregados_entregadores (entregador_id, nome, total_entregas) VALUES (522057, 'Nome522057 Sobrenome522057', 2);
INSERT INTO agregados_entregadores (entregador_id, nome, total_entregas) VALUES (189250, 'Nome189250 Sobrenome189250', 3);
INSERT INTO agregados_entregadores (entregador_id, nome, total_entregas) VALUES (294006, 'Nome294006 Sobrenome294006', 3);
INSERT INTO agregados_entregadores (entregador_id, nome, total_entregas) VALUES (265332, 'Nome265332 Sobrenome265332', 3);
INSERT INTO agregados_entregadores (entregador_id, nome, total_entregas) VALUES (356309, 'Nome356309 Sobrenome356309', 1);
INSERT INTO agregados_entregadores (entregador_id, nome, total_entregas) VALUES (241053, 'Nome241053 Sobrenome241053', 2);
INSERT INTO agregados_entregadores (entregador_id, nome, total_entregas) VALUES (922304, 'Nome922304 Sobrenome922304', 1);
INSERT INTO agregados_entregadores (entregador_id, nome, total_entregas) VALUES (483968, 'Nome483968 Sobrenome483968', 1);
INSERT INTO agregados_entregadores (entregador_id, nome, total_entregas) VALUES (516812, 'Nome516812 Sobrenome516812', 1);
INSERT INTO agregados_entregadores (entregador_id, nome, total_entregas) VALUES (289761, 'Nome289761 Sobrenome289761', 3);
INSERT INTO agregados_entregadores (entregador_id, nome, total_entregas) VALUES (821001, 'Nome821001 Sobrenome821001', 2);
INSERT INTO agregados_entregadores (entregador_id, nome, total_entregas) VALUES (117521, 'Nome117521 Sobrenome117521', 2);
INSERT INTO agregados_entregadores (entregador_id, nome, total_entregas) VALUES (882859, 'Nome882859 Sobrenome882859', 2);
INSERT INTO agregados_entregadores (entregador_id, nome, total_entregas) VALUES (210096, 'Nome210096 Sobrenome210096', 1);
INSERT INTO agregados_entregadores (entregador_id, nome, total_entregas) VALUES (752639, 'Nome752639 Sobrenome752639', 2);
INSERT INTO agregados_entregadores (entregador_id, nome, total_entregas) VALUES (267480, 'Nome267480 Sobrenome267480', 7);
INSERT INTO agregados_entregadores (entregador_id, nome, total_entregas) VALUES (690628, 'Nome690628 Sobrenome690628', 3);
INSERT INTO agregados_entregadores (entregador_id, nome, total_entregas) VALUES (177462, 'Nome177462 Sobrenome177462', 3);
INSERT INTO agregados_entregadores (entregador_id, nome, total_entregas) VALUES (397612, 'Nome397612 Sobrenome397612', 1);
INSERT INTO agregados_entregadores (entregador_id, nome, total_entregas) VALUES (453010, 'Nome453010 Sobrenome453010', 3);
INSERT INTO agregados_entregadores (entregador_id, nome, total_entregas) VALUES (345926, 'Nome345926 Sobrenome345926', 3);
INSERT INTO agregados_entregadores (entregador_id, nome, total_entregas) VALUES (258059, 'Nome258059 Sobrenome258059', 1);
INSERT INTO agregados_entregadores (entregador_id, nome, total_entregas) VALUES (706931, 'Nome706931 Sobrenome706931', 0);
INSERT INTO agregados_entregadores (entregador_id, nome, total_entregas) VALUES (499152, 'Nome499152 Sobrenome499152', 2);
INSERT INTO agregados_entregadores (entregador_id, nome, total_entregas) VALUES (290569, 'Nome290569 Sobrenome290569', 4);
INSERT INTO agregados_entregadores (entregador_id, nome, total_entregas) VALUES (867704, 'Nome867704 Sobrenome867704', 1);
INSERT INTO agregados_entregadores (entregador_id, nome, total_entregas) VALUES (384201, 'Nome384201 Sobrenome384201', 6);
INSERT INTO agregados_entregadores (entregador_id, nome, total_entregas) VALUES (385644, 'Nome385644 Sobrenome385644', 1);
INSERT INTO agregados_entregadores (entregador_id, nome, total_entregas) VALUES (288742, 'Nome288742 Sobrenome288742', 2);
INSERT INTO agregados_entregadores (entregador_id, nome, total_entregas) VALUES (446961, 'Nome446961 Sobrenome446961', 3);
INSERT INTO agregados_entregadores (entregador_id, nome, total_entregas) VALUES (171300, 'Nome171300 Sobrenome171300', 0);
INSERT INTO agregados_entregadores (entregador_id, nome, total_entregas) VALUES (222147, 'Nome222147 Sobrenome222147', 2);
INSERT INTO agregados_entregadores (entregador_id, nome, total_entregas) VALUES (758958, 'Nome758958 Sobrenome758958', 3);
INSERT INTO agregados_entregadores (entregador_id, nome, total_entregas) VALUES (991555, 'Nome991555 Sobrenome991555', 1);
INSERT INTO agregados_entregadores (entregador_id, nome, total_entregas) VALUES (941040, 'Nome941040 Sobrenome941040', 0);
INSERT INTO agregados_entregadores (entregador_id, nome, total_entregas) VALUES (550993, 'Nome550993 Sobrenome550993', 2);
INSERT INTO agregados_entregadores (entregador_id, nome, total_entregas) VALUES (347027, 'Nome347027 Sobrenome347027', 0);
